town,flat_type,storey_range,flat_model,floor_area_sqft,remaining_lease_months,nearest_pri_dist,nearest_mrt_dist,nearest_supermarket_dist,nearest_mall_dist,nearest_hawker_dist,price_per_sqft
ANG MO KIO,3 ROOM,01 TO 03,New Generation,721.1813,696,718,1645,373,1440,140,318.9211922
ANG MO KIO,3 ROOM,01 TO 03,Improved,645.834,792,451,1439,473,1783,408,363.8705921
ANG MO KIO,3 ROOM,04 TO 06,New Generation,721.1813,708,563,890,277,981,566,330.0141032
ANG MO KIO,3 ROOM,10 TO 12,Improved,656.5979,793,451,1439,473,1783,408,365.5205111
ANG MO KIO,3 ROOM,01 TO 03,New Generation,731.9452,728,661,429,1265,1836,431,327.8933997
ANG MO KIO,3 ROOM,01 TO 03,New Generation,721.1813,712,547,674,445,776,381,335.5605588
ANG MO KIO,3 ROOM,01 TO 03,New Generation,731.9452,727,504,749,716,997,703,341.5556247
ANG MO KIO,3 ROOM,07 TO 09,New Generation,721.1813,780,632,731,783,1939,292,350.8133114
ANG MO KIO,3 ROOM,04 TO 06,New Generation,721.1813,708,563,890,277,981,566,357.7463808
ANG MO KIO,3 ROOM,01 TO 03,New Generation,721.1813,769,695,1450,730,1539,435,357.7463808
ANG MO KIO,3 ROOM,04 TO 06,New Generation,721.1813,712,110,1243,645,1321,422,360.5196086
ANG MO KIO,3 ROOM,04 TO 06,New Generation,721.1813,716,799,954,514,1044,368,360.5196086
ANG MO KIO,3 ROOM,13 TO 15,New Generation,731.9452,721,95,1180,583,1282,535,355.2178496
ANG MO KIO,3 ROOM,01 TO 03,New Generation,721.1813,713,529,466,477,568,534,360.5196086
ANG MO KIO,3 ROOM,07 TO 09,New Generation,796.5286,700,409,1639,559,1434,523,328.9272978
ANG MO KIO,3 ROOM,01 TO 03,New Generation,731.9452,732,345,1169,700,1205,646,358.6334059
ANG MO KIO,3 ROOM,07 TO 09,New Generation,721.1813,780,632,731,783,1939,292,367.452678
ANG MO KIO,3 ROOM,10 TO 12,New Generation,721.1813,703,327,1557,501,1352,685,368.8392919
ANG MO KIO,3 ROOM,07 TO 09,New Generation,731.9452,781,297,1221,950,1193,523,367.5138521
ANG MO KIO,3 ROOM,07 TO 09,New Generation,721.1813,697,718,1645,373,1440,140,374.3857474
ANG MO KIO,3 ROOM,01 TO 03,New Generation,731.9452,733,408,1058,614,1094,589,368.8800746
ANG MO KIO,3 ROOM,07 TO 09,New Generation,721.1813,775,569,1315,595,1404,308,381.3188168
ANG MO KIO,3 ROOM,07 TO 09,New Generation,721.1813,706,504,832,76,627,674,391.0251139
ANG MO KIO,3 ROOM,04 TO 06,New Generation,796.5286,715,384,724,0,813,500,357.8025949
ANG MO KIO,3 ROOM,10 TO 12,New Generation,721.1813,726,826,1304,1024,2316,647,395.1849556
ANG MO KIO,3 ROOM,07 TO 09,New Generation,721.1813,687,274,1068,313,863,418,395.1849556
ANG MO KIO,3 ROOM,10 TO 12,New Generation,721.1813,705,504,832,76,627,674,399.3447972
ANG MO KIO,3 ROOM,01 TO 03,New Generation,796.5286,716,538,978,278,1067,294,364.0798334
ANG MO KIO,3 ROOM,01 TO 03,New Generation,785.7647,699,362,389,312,316,682,369.0672284
ANG MO KIO,3 ROOM,10 TO 12,New Generation,731.9452,721,95,1180,583,1282,535,396.2045246
ANG MO KIO,3 ROOM,04 TO 06,New Generation,785.7647,676,626,1194,8,990,292,375.4304565
ANG MO KIO,3 ROOM,04 TO 06,New Generation,785.7647,699,362,389,312,316,682,388.1569126
ANG MO KIO,3 ROOM,07 TO 09,New Generation,807.2925,730,402,626,930,1474,722,377.8060616
ANG MO KIO,3 ROOM,07 TO 09,New Generation,721.1813,777,312,486,530,734,585,432.6235303
ANG MO KIO,3 ROOM,13 TO 15,New Generation,796.5286,716,488,878,157,967,368,409.2759507
ANG MO KIO,3 ROOM,13 TO 15,New Generation,796.5286,716,384,724,0,813,500,414.2977415
ANG MO KIO,3 ROOM,04 TO 06,New Generation,871.8759,725,452,682,670,930,674,384.2289941
ANG MO KIO,3 ROOM,07 TO 09,New Generation,882.6398,722,830,1174,641,1265,514,382.9421696
ANG MO KIO,3 ROOM,13 TO 15,New Generation,807.2925,730,345,985,598,1769,569,421.1608556
ANG MO KIO,3 ROOM,10 TO 12,New Generation,882.6398,727,289,883,272,1131,188,405.6014696
ANG MO KIO,4 ROOM,01 TO 03,New Generation,990.2788,684,732,921,302,716,516,333.2394877
ANG MO KIO,4 ROOM,07 TO 09,New Generation,979.5149,738,518,1472,577,1887,512,367.5288656
ANG MO KIO,4 ROOM,01 TO 03,New Generation,990.2788,733,353,1300,440,1402,356,373.6321529
ANG MO KIO,4 ROOM,04 TO 06,New Generation,1065.6261,700,316,1894,655,1865,590,351.9057951
ANG MO KIO,4 ROOM,04 TO 06,New Generation,990.2788,715,369,1115,400,1204,100,383.7303192
ANG MO KIO,4 ROOM,10 TO 12,New Generation,990.2788,732,321,1238,470,1340,418,383.7303192
ANG MO KIO,4 ROOM,07 TO 09,New Generation,990.2788,706,620,688,557,785,304,388.7794023
ANG MO KIO,4 ROOM,04 TO 06,New Generation,990.2788,745,342,1595,629,1874,564,398.8775686
ANG MO KIO,4 ROOM,10 TO 12,New Generation,1001.0427,731,666,1046,906,2199,417,394.5885625
ANG MO KIO,4 ROOM,07 TO 09,New Generation,979.5149,725,951,1559,1160,2453,902,403.2608386
ANG MO KIO,4 ROOM,07 TO 09,New Generation,979.5149,727,355,586,573,834,628,408.3654062
ANG MO KIO,4 ROOM,07 TO 09,New Generation,1054.8622,684,784,995,252,790,466,386.7803776
ANG MO KIO,4 ROOM,10 TO 12,New Generation,990.2788,708,717,734,478,831,372,413.0150014
ANG MO KIO,4 ROOM,07 TO 09,New Generation,1022.5705,730,746,976,808,2100,319,402.9062055
ANG MO KIO,4 ROOM,04 TO 06,New Generation,979.5149,745,407,991,586,1000,550,436.9509846
ANG MO KIO,4 ROOM,13 TO 15,New Generation,1054.8622,697,293,622,393,424,456,436.0759159
ANG MO KIO,4 ROOM,13 TO 15,New Generation,990.2788,688,477,767,563,566,639,467.5450994
ANG MO KIO,4 ROOM,10 TO 12,Model A,1205.5568,879,420,693,1170,2099,336,406.4511933
ANG MO KIO,4 ROOM,04 TO 06,Model A,1011.8066,1112,758,1185,349,983,536,494.1655846
ANG MO KIO,4 ROOM,10 TO 12,Model A,968.751,1004,857,532,318,404,490,617.2896854
ANG MO KIO,4 ROOM,25 TO 27,Model A,1033.3344,1112,831,1177,453,975,641,725.8057024
ANG MO KIO,5 ROOM,01 TO 03,Improved,1280.9041,727,289,1204,482,1306,434,366.9283282
ANG MO KIO,5 ROOM,10 TO 12,Improved,1280.9041,712,209,1342,732,1419,372,425.480721
ANG MO KIO,5 ROOM,10 TO 12,Standard,1259.3763,698,142,1303,565,1098,688,447.8407288
ANG MO KIO,5 ROOM,16 TO 18,Improved,1270.1402,732,425,1147,379,1249,327,455.0678736
ANG MO KIO,5 ROOM,19 TO 21,Improved,1291.668,720,826,1439,1175,1198,682,455.2253365
ANG MO KIO,5 ROOM,07 TO 09,Improved,1280.9041,726,963,615,156,493,298,482.4717167
ANG MO KIO,5 ROOM,04 TO 06,Improved,1367.0153,878,192,1345,548,1140,630,468.1732531
ANG MO KIO,5 ROOM,04 TO 06,Improved,1184.029,983,316,899,573,908,500,547.2838925
ANG MO KIO,5 ROOM,04 TO 06,DBSS,1291.668,1100,178,801,266,903,322,557.4187794
ANG MO KIO,5 ROOM,13 TO 15,Improved,1184.029,1033,493,984,168,844,244,614.8498052
ANG MO KIO,5 ROOM,16 TO 18,Improved,1184.029,980,383,887,443,923,625,614.8498052
ANG MO KIO,5 ROOM,19 TO 21,Improved,1184.029,1035,495,986,86,846,382,650.3219093
ANG MO KIO,5 ROOM,19 TO 21,Improved,1194.7929,1004,783,577,363,372,566,664.3829236
BEDOK,3 ROOM,07 TO 09,Improved,635.0701,699,292,959,123,837,310,370.0378903
BEDOK,3 ROOM,04 TO 06,Improved,635.0701,696,954,722,732,1332,691,385.7841835
BEDOK,3 ROOM,01 TO 03,New Generation,721.1813,691,357,912,229,1281,343,339.7204004
BEDOK,3 ROOM,01 TO 03,Improved,656.5979,799,547,118,497,2149,572,380.7505324
BEDOK,3 ROOM,04 TO 06,Improved,699.6535,672,732,1118,22,842,288,357.3197304
BEDOK,3 ROOM,10 TO 12,Improved,699.6535,630,755,1244,481,1029,982,357.3197304
BEDOK,3 ROOM,07 TO 09,Improved,699.6535,648,1036,709,198,605,813,373.0417985
BEDOK,3 ROOM,04 TO 06,New Generation,731.9452,721,830,1116,241,1245,350,362.0489621
BEDOK,3 ROOM,10 TO 12,Improved,699.6535,630,782,1063,301,1005,1124,378.7589142
BEDOK,3 ROOM,10 TO 12,Improved,635.0701,696,934,716,670,1321,662,424.3626019
BEDOK,3 ROOM,04 TO 06,Improved,645.834,793,733,322,257,1984,375,418.0640846
BEDOK,3 ROOM,01 TO 03,New Generation,731.9452,735,658,258,444,2059,562,368.8800746
BEDOK,3 ROOM,01 TO 03,New Generation,731.9452,739,310,771,350,1703,740,379.8098546
BEDOK,3 ROOM,07 TO 09,Improved,699.6535,672,732,1118,22,842,288,397.3395402
BEDOK,3 ROOM,13 TO 15,New Generation,721.1813,704,667,1355,587,1325,530,385.4786584
BEDOK,3 ROOM,07 TO 09,Improved,635.0701,672,775,794,327,537,571,437.7469511
BEDOK,3 ROOM,01 TO 03,Improved,710.4174,700,555,858,94,1117,53,392.7268673
BEDOK,3 ROOM,01 TO 03,New Generation,731.9452,708,637,665,451,279,631,382.5422996
BEDOK,3 ROOM,10 TO 12,New Generation,731.9452,724,965,1214,522,929,489,382.5422996
BEDOK,3 ROOM,01 TO 03,New Generation,731.9452,730,255,423,410,2160,1010,382.5422996
BEDOK,3 ROOM,01 TO 03,New Generation,753.473,787,279,543,675,2753,692,374.2668948
BEDOK,3 ROOM,01 TO 03,New Generation,731.9452,735,619,474,225,1957,337,392.1058571
BEDOK,3 ROOM,07 TO 09,New Generation,731.9452,738,310,771,350,1703,740,396.2045246
BEDOK,3 ROOM,07 TO 09,New Generation,785.7647,700,657,1318,265,1281,324,369.0672284
BEDOK,3 ROOM,10 TO 12,Improved,699.6535,752,340,774,542,376,693,421.6372819
BEDOK,3 ROOM,10 TO 12,New Generation,721.1813,709,681,859,637,473,633,411.8243221
BEDOK,3 ROOM,01 TO 03,New Generation,721.1813,786,911,840,511,547,694,420.1440054
BEDOK,3 ROOM,10 TO 12,New Generation,731.9452,730,329,482,398,2174,1069,430.3600871
BEDOK,3 ROOM,07 TO 09,Model A,861.112,768,617,1117,595,1227,1427,371.6125196
BEDOK,3 ROOM,01 TO 03,New Generation,785.7647,714,1006,570,469,315,644,413.6098249
BEDOK,3 ROOM,04 TO 06,New Generation,731.9452,715,727,425,220,131,390,453.5858695
BEDOK,3 ROOM,07 TO 09,New Generation,731.9452,708,637,665,451,279,631,464.5156495
BEDOK,3 ROOM,10 TO 12,New Generation,882.6398,786,279,543,675,2753,692,396.5377496
BEDOK,3 ROOM,07 TO 09,New Generation,882.6398,777,733,1235,264,890,280,398.8036796
BEDOK,4 ROOM,07 TO 09,Improved,968.751,693,466,1179,410,1146,354,348.9028656
BEDOK,4 ROOM,01 TO 03,New Generation,979.5149,756,476,1309,613,1317,1291,352.2151628
BEDOK,4 ROOM,07 TO 09,New Generation,990.2788,714,227,594,298,1215,215,351.416187
BEDOK,4 ROOM,07 TO 09,New Generation,990.2788,700,804,1177,444,1280,503,353.4358203
BEDOK,4 ROOM,01 TO 03,Simplified,904.1676,802,334,545,448,2601,413,387.0963746
BEDOK,4 ROOM,04 TO 06,Simplified,904.1676,809,273,772,199,2359,188,387.0963746
BEDOK,4 ROOM,10 TO 12,Simplified,904.1676,802,672,638,455,2523,343,390.4143435
BEDOK,4 ROOM,10 TO 12,Simplified,904.1676,807,294,720,275,2435,236,395.9442917
BEDOK,4 ROOM,07 TO 09,New Generation,990.2788,706,386,1019,369,1734,465,368.5830697
BEDOK,4 ROOM,07 TO 09,Simplified,904.1676,804,188,667,323,2476,320,409.2161674
BEDOK,4 ROOM,13 TO 15,Improved,904.1676,692,389,1372,603,1069,513,414.7461157
BEDOK,4 ROOM,04 TO 06,Simplified,893.4037,784,397,1131,1106,2218,1134,425.3396309
BEDOK,4 ROOM,04 TO 06,New Generation,990.2788,715,559,929,483,1210,508,385.7499524
BEDOK,4 ROOM,04 TO 06,New Generation,1119.4456,788,222,642,617,2767,635,343.9202405
BEDOK,4 ROOM,10 TO 12,New Generation,990.2788,725,847,950,632,658,627,388.7794023
BEDOK,4 ROOM,07 TO 09,New Generation,1054.8622,738,621,1280,772,991,814,364.9765818
BEDOK,4 ROOM,13 TO 15,New Generation,979.5149,690,446,991,257,1512,353,398.156271
BEDOK,4 ROOM,07 TO 09,New Generation,979.5149,701,722,805,500,1209,459,398.156271
BEDOK,4 ROOM,07 TO 09,New Generation,979.5149,702,863,922,598,1235,600,398.156271
BEDOK,4 ROOM,10 TO 12,Simplified,893.4037,783,207,1263,1069,2162,1097,443.8083254
BEDOK,4 ROOM,01 TO 03,New Generation,990.2788,725,909,1171,531,1029,532,408.9757349
BEDOK,4 ROOM,07 TO 09,New Generation,990.2788,705,667,1355,587,1325,530,422.1033511
BEDOK,4 ROOM,01 TO 03,New Generation,979.5149,730,298,294,577,2173,911,428.7836765
BEDOK,4 ROOM,13 TO 15,New Generation,990.2788,705,711,1307,539,1379,482,426.1426176
BEDOK,4 ROOM,10 TO 12,New Generation,990.2788,708,568,712,499,326,678,435.2309673
BEDOK,4 ROOM,04 TO 06,Model A,1119.4456,768,830,1117,490,1631,737,388.5852068
BEDOK,4 ROOM,01 TO 03,Model A,1162.5012,922,486,245,681,2996,787,378.494233
BEDOK,4 ROOM,10 TO 12,Premium Apartment,1130.2095,971,545,421,823,1781,912,482.2114838
BEDOK,4 ROOM,19 TO 21,Model A,990.2788,1031,738,625,495,1233,466,636.1844765
BEDOK,4 ROOM,19 TO 21,Model A,990.2788,1031,598,759,367,1094,326,656.3808091
BEDOK,4 ROOM,04 TO 06,Model A,1011.8066,1084,567,757,368,359,372,672.0651951
BEDOK,4 ROOM,13 TO 15,Model A,1011.8066,1084,662,663,328,265,332,681.9485068
BEDOK,4 ROOM,16 TO 18,Model A,1044.0983,1084,567,757,368,359,372,689.5902426
BEDOK,4 ROOM,10 TO 12,Model A,1044.0983,1084,537,618,329,220,425,718.3231694
BEDOK,5 ROOM,01 TO 03,Improved,1302.4319,756,301,856,339,2348,359,314.7957294
BEDOK,5 ROOM,10 TO 12,Improved,1302.4319,737,379,1514,897,1227,1035,388.5039978
BEDOK,5 ROOM,07 TO 09,Standard,1323.9597,693,251,1150,956,2002,947,385.2080996
BEDOK,5 ROOM,13 TO 15,Improved,1313.1958,802,628,608,412,2479,300,392.1730484
BEDOK,5 ROOM,04 TO 06,Model A,1431.5987,763,707,1201,600,913,863,384.1858756
BEDOK,5 ROOM,04 TO 06,Premium Apartment,1237.8485,971,402,249,766,1638,769,458.8606764
BEDOK,5 ROOM,04 TO 06,Premium Apartment,1237.8485,971,741,592,766,1978,861,458.8606764
BEDOK,5 ROOM,13 TO 15,Improved,1367.0153,880,118,1352,446,1861,497,453.5428389
BEDOK,5 ROOM,13 TO 15,Premium Apartment,1237.8485,971,481,358,846,1718,848,523.4889407
BEDOK,5 ROOM,13 TO 15,Improved,1205.5568,1084,521,753,353,355,356,690.9670287
BEDOK,EXECUTIVE,10 TO 12,Maisonette,1614.585,789,347,649,743,2860,760,414.9673136
BEDOK,EXECUTIVE,13 TO 15,Apartment,1539.2377,768,693,1153,501,1569,674,472.6365525
BEDOK,EXECUTIVE,10 TO 12,Maisonette,1679.1684,920,590,304,646,3007,891,461.5379851
BEDOK,EXECUTIVE,10 TO 12,Apartment,1550.0016,922,1062,801,0,743,948,521.2897845
BISHAN,3 ROOM,04 TO 06,Simplified,688.8896,799,538,2385,1724,1565,1977,493.5478776
BISHAN,3 ROOM,10 TO 12,Simplified,688.8896,819,199,873,627,869,1636,522.5801057
BISHAN,3 ROOM,01 TO 03,Simplified,688.8896,789,508,550,339,542,1959,537.0962198
BISHAN,3 ROOM,07 TO 09,New Generation,721.1813,785,1510,603,509,1071,53,618.4297901
BISHAN,4 ROOM,04 TO 06,Simplified,1001.0427,827,427,1129,724,1079,1484,468.3995997
BISHAN,4 ROOM,07 TO 09,Simplified,904.1676,813,467,1210,805,1161,1374,519.8151316
BISHAN,4 ROOM,07 TO 09,Simplified,904.1676,810,317,853,448,804,1255,528.6630488
BISHAN,4 ROOM,07 TO 09,Simplified,904.1676,791,477,587,333,579,2007,552.9948209
BISHAN,4 ROOM,10 TO 12,Simplified,904.1676,793,315,704,299,655,1341,558.5247691
BISHAN,4 ROOM,07 TO 09,Model A,1108.6817,823,390,984,578,934,1328,464.5156495
BISHAN,4 ROOM,07 TO 09,Simplified,904.1676,790,518,627,374,619,1987,580.6445619
BISHAN,4 ROOM,04 TO 06,Model A,1108.6817,871,599,1104,650,1225,1634,478.0452316
BISHAN,4 ROOM,04 TO 06,Model A,1140.9734,871,640,1423,337,1544,1410,468.8978726
BISHAN,4 ROOM,04 TO 06,Model A,1119.4456,871,576,1318,273,1529,1306,489.5280307
BISHAN,4 ROOM,04 TO 06,Model A,1108.6817,871,394,1227,92,1348,1407,494.28073
BISHAN,4 ROOM,04 TO 06,Model A,1108.6817,868,409,1059,348,1180,1320,496.0846743
BISHAN,4 ROOM,04 TO 06,Model A,1227.0846,871,840,1521,719,1456,844,448.2168548
BISHAN,4 ROOM,10 TO 12,Simplified,893.4037,817,283,551,476,642,1906,626.8162982
BISHAN,4 ROOM,10 TO 12,Simplified,893.4037,816,471,519,227,469,1675,632.4128723
BISHAN,4 ROOM,07 TO 09,Model A,1119.4456,871,740,1438,437,1648,1309,507.3940172
BISHAN,4 ROOM,01 TO 03,Model A,1130.2095,870,1288,1577,767,1374,1000,502.5616932
BISHAN,4 ROOM,07 TO 09,Model A,1108.6817,871,767,1448,646,1555,941,541.183281
BISHAN,4 ROOM,13 TO 15,Model A,1097.9178,871,701,956,809,1077,1474,555.5971494
BISHAN,4 ROOM,07 TO 09,Model A,1205.5568,871,792,1481,503,1637,1352,509.30823
BISHAN,4 ROOM,04 TO 06,Model A,1108.6817,871,891,1558,662,1394,779,557.4187794
BISHAN,4 ROOM,07 TO 09,Model A,1119.4456,871,672,1191,370,1626,1179,558.3120788
BISHAN,4 ROOM,16 TO 18,Model A,1097.9178,870,628,1135,679,1257,1653,573.8134494
BISHAN,4 ROOM,10 TO 12,Model A,1248.6124,871,999,1594,833,1392,914,518.976105
BISHAN,4 ROOM,28 TO 30,DBSS,1022.5705,1099,340,1197,219,1318,1550,799.9448449
BISHAN,4 ROOM,31 TO 33,DBSS,1022.5705,1100,297,1153,189,1274,1506,801.9007002
BISHAN,5 ROOM,07 TO 09,Improved,1302.4319,811,325,1134,721,1085,1092,506.7443449
BISHAN,5 ROOM,19 TO 21,Premium Apartment,1323.9597,941,133,918,363,1039,1572,528.7169995
BISHAN,5 ROOM,07 TO 09,Improved,1313.1958,815,138,868,815,981,1629,546.7577645
BISHAN,5 ROOM,04 TO 06,Improved,1302.4319,783,1199,285,779,1340,388,614.2355696
BISHAN,5 ROOM,19 TO 21,Premium Apartment,1323.9597,941,133,918,363,1039,1572,619.3541994
BISHAN,EXECUTIVE,01 TO 03,Maisonette,1571.5294,871,780,1466,631,1495,991,489.9685618
BISHAN,EXECUTIVE,07 TO 09,Maisonette,1625.3489,871,549,1229,428,1350,1081,479.8969624
BISHAN,EXECUTIVE,10 TO 12,Maisonette,1593.0572,868,325,962,433,1083,1550,583.7831812
BISHAN,EXECUTIVE,10 TO 12,Maisonette,1571.5294,805,406,603,384,554,1902,604.5066672
BUKIT BATOK,3 ROOM,07 TO 09,Simplified,688.8896,801,730,1462,412,1606,2469,335.3222345
BUKIT BATOK,3 ROOM,10 TO 12,New Generation,731.9452,795,385,819,530,1476,3080,318.3298422
BUKIT BATOK,3 ROOM,04 TO 06,New Generation,731.9452,775,400,862,227,895,1383,318.3298422
BUKIT BATOK,3 ROOM,07 TO 09,New Generation,731.9452,822,386,1078,790,1611,3199,318.3298422
BUKIT BATOK,3 ROOM,01 TO 03,Simplified,688.8896,804,687,1515,468,1660,2413,345.4835143
BUKIT BATOK,3 ROOM,04 TO 06,New Generation,731.9452,795,385,819,530,1476,3080,327.8933997
BUKIT BATOK,3 ROOM,01 TO 03,Model A,785.7647,792,544,584,420,1807,3421,305.4349476
BUKIT BATOK,3 ROOM,04 TO 06,New Generation,731.9452,772,381,862,372,858,1535,329.2596222
BUKIT BATOK,3 ROOM,04 TO 06,New Generation,721.1813,779,186,693,606,927,2226,335.5605588
BUKIT BATOK,3 ROOM,10 TO 12,New Generation,731.9452,778,539,779,525,717,1616,332.6751784
BUKIT BATOK,3 ROOM,04 TO 06,New Generation,721.1813,783,601,1210,441,1349,2916,344.9895331
BUKIT BATOK,3 ROOM,10 TO 12,New Generation,721.1813,782,317,628,531,802,2357,360.5196086
BUKIT BATOK,3 ROOM,07 TO 09,Model A,785.7647,786,842,1450,526,1590,2695,330.8878599
BUKIT BATOK,3 ROOM,10 TO 12,New Generation,731.9452,813,308,594,411,1572,3186,355.2178496
BUKIT BATOK,3 ROOM,04 TO 06,Model A,785.7647,783,591,1199,353,1339,2886,337.251088
BUKIT BATOK,3 ROOM,04 TO 06,Model A,785.7647,763,543,451,403,686,1859,337.251088
BUKIT BATOK,3 ROOM,10 TO 12,Model A,785.7647,779,576,975,228,1147,898,338.5237336
BUKIT BATOK,3 ROOM,10 TO 12,Model A,785.7647,779,576,975,228,1147,898,343.6143161
BUKIT BATOK,3 ROOM,04 TO 06,New Generation,731.9452,773,565,822,596,739,1694,368.8800746
BUKIT BATOK,3 ROOM,01 TO 03,Model A,785.7647,777,698,699,580,580,1706,347.4322529
BUKIT BATOK,3 ROOM,10 TO 12,New Generation,721.1813,802,544,821,465,960,2583,381.3188168
BUKIT BATOK,3 ROOM,13 TO 15,Model A,785.7647,780,364,1004,75,1125,1167,349.9775442
BUKIT BATOK,3 ROOM,01 TO 03,New Generation,882.6398,771,492,880,482,818,1646,311.5653747
BUKIT BATOK,3 ROOM,07 TO 09,New Generation,721.1813,783,348,767,366,914,2529,388.2518862
BUKIT BATOK,4 ROOM,04 TO 06,Simplified,904.1676,795,581,668,260,1995,3609,337.3268407
BUKIT BATOK,4 ROOM,01 TO 03,Model A,1119.4456,806,486,677,529,1749,3363,276.9227911
BUKIT BATOK,4 ROOM,10 TO 12,Model A,1108.6817,809,507,777,442,1878,3492,283.2192504
BUKIT BATOK,4 ROOM,04 TO 06,New Generation,1001.0427,794,372,780,517,1566,3170,329.6562674
BUKIT BATOK,4 ROOM,04 TO 06,Model A,1108.6817,800,600,619,500,1300,2916,297.6508046
BUKIT BATOK,4 ROOM,04 TO 06,Simplified,904.1676,795,581,668,260,1995,3609,370.50653
BUKIT BATOK,4 ROOM,01 TO 03,Model A,1108.6817,812,607,642,321,1932,3546,305.5881593
BUKIT BATOK,4 ROOM,07 TO 09,New Generation,1001.0427,783,213,930,324,1082,2556,339.6458513
BUKIT BATOK,4 ROOM,04 TO 06,New Generation,1011.8066,810,202,495,308,1465,3079,350.8575651
BUKIT BATOK,4 ROOM,07 TO 09,Model A,1119.4456,795,581,668,260,1995,3609,326.054254
BUKIT BATOK,4 ROOM,04 TO 06,Model A,1119.4456,774,557,634,339,762,1404,330.5207506
BUKIT BATOK,4 ROOM,10 TO 12,Model A,1108.6817,789,547,1275,421,1447,810,333.72969
BUKIT BATOK,4 ROOM,10 TO 12,Model A,1119.4456,788,774,1482,478,1627,2496,337.6671452
BUKIT BATOK,4 ROOM,04 TO 06,Model A,1097.9178,938,432,1183,727,1417,2408,346.1096997
BUKIT BATOK,4 ROOM,07 TO 09,Model A,968.751,1020,770,746,176,2104,3719,392.2576596
BUKIT BATOK,4 ROOM,04 TO 06,Model A,968.751,1020,770,746,176,2104,3719,397.4189446
BUKIT BATOK,4 ROOM,07 TO 09,Model A,1130.2095,782,339,1137,188,1302,1074,343.2991848
BUKIT BATOK,4 ROOM,19 TO 21,Model A,1108.6817,784,567,1266,441,1437,730,373.315443
BUKIT BATOK,4 ROOM,13 TO 15,Model A,1108.6817,935,264,1310,559,1544,2535,387.8480181
BUKIT BATOK,4 ROOM,01 TO 03,Model A,1108.6817,786,800,493,445,727,1607,392.3578787
BUKIT BATOK,4 ROOM,25 TO 27,Model A,968.751,1021,687,536,316,1894,3509,456.2575935
BUKIT BATOK,4 ROOM,07 TO 09,Model A,1151.7373,783,531,288,240,522,1878,387.2410835
BUKIT BATOK,4 ROOM,07 TO 09,Model A,1377.7792,783,832,358,310,531,1500,328.0641775
BUKIT BATOK,5 ROOM,01 TO 03,Improved,1313.1958,801,363,862,507,1345,2939,300.7929206
BUKIT BATOK,5 ROOM,04 TO 06,Improved,1313.1958,800,448,543,420,1168,2784,346.4829845
BUKIT BATOK,5 ROOM,04 TO 06,Model A,1603.8211,786,800,493,445,727,1607,305.5203601
BUKIT BATOK,5 ROOM,07 TO 09,Improved,1302.4319,937,432,1183,727,1417,2408,376.2192864
BUKIT BATOK,5 ROOM,10 TO 12,Improved,1302.4319,784,698,1321,346,1466,2757,383.897231
BUKIT BATOK,5 ROOM,13 TO 15,Improved,1237.8485,1021,687,536,316,1894,3509,436.2407839
BUKIT BATOK,5 ROOM,16 TO 18,Model A,1420.8348,783,765,448,399,559,1495,387.0963746
BUKIT BATOK,5 ROOM,10 TO 12,Improved,1184.029,1021,741,825,47,2183,3798,471.2722408
BUKIT BATOK,5 ROOM,19 TO 21,Improved,1270.1402,1022,781,898,128,2244,3860,448.7693563
BUKIT BATOK,5 ROOM,28 TO 30,Improved,1216.3207,1006,1006,451,285,285,1822,641.2782418
BUKIT BATOK,EXECUTIVE,04 TO 06,Apartment,1517.7099,785,267,632,568,860,2361,342.621472
BUKIT BATOK,EXECUTIVE,01 TO 03,Maisonette,1646.8767,796,422,643,460,1686,3300,346.1096997
BUKIT BATOK,EXECUTIVE,01 TO 03,Apartment,1571.5294,784,198,831,428,1004,2529,369.0672284
BUKIT BATOK,EXECUTIVE,07 TO 09,Maisonette,1614.585,786,827,592,436,436,1830,364.1802692
BUKIT BATOK,EXECUTIVE,07 TO 09,Maisonette,1614.585,787,827,592,436,436,1830,406.2269871
BUKIT BATOK,EXECUTIVE,13 TO 15,Maisonette,1614.585,778,447,900,438,849,1601,411.8705426
BUKIT BATOK,EXECUTIVE,13 TO 15,Maisonette,1539.2377,932,885,410,369,369,2067,464.5156495
BUKIT BATOK,EXECUTIVE,04 TO 06,Apartment,1550.0016,935,537,1675,650,1822,2366,464.5156495
BUKIT BATOK,EXECUTIVE,04 TO 06,Apartment,1550.0016,935,505,1644,618,1791,2301,470.2498372
BUKIT BATOK,EXECUTIVE,10 TO 12,Apartment,1550.0016,935,580,1719,693,1866,2437,470.9672558
BUKIT BATOK,EXECUTIVE,04 TO 06,Apartment,1550.0016,932,885,410,369,369,2067,474.1930589
BUKIT MERAH,1 ROOM,07 TO 09,Improved,333.6809,662,872,1666,182,1326,307,515.4625272
BUKIT MERAH,2 ROOM,07 TO 09,Standard,505.9033,570,1031,1080,188,900,208,375.5658443
BUKIT MERAH,2 ROOM,04 TO 06,Standard,505.9033,569,1031,1080,188,900,208,395.3324677
BUKIT MERAH,2 ROOM,07 TO 09,Improved,473.6116,697,349,601,205,1123,185,439.1784323
BUKIT MERAH,3 ROOM,07 TO 09,Standard,645.834,589,878,930,498,1472,182,387.0963746
BUKIT MERAH,3 ROOM,04 TO 06,Improved,635.0701,676,433,1307,654,1356,289,393.6573301
